QID,AccAnswer,Important Part of Code Missing,Database/File/dependency,library not found,Miscellaneous,Method not found,Too Short Code Segment,missing test case,incompatible version types
3731278,YES,,1,,,,,,
5205982,YES,,,1,,,,,
6430839,NO,,,,1,,,,
8903592,NO,1,,,,,,,
12186956,YES,1,,,,,,,
14563985,YES,1,,,,,,,
15801680,NO,,1,,,,,,
16659524,NO,1,,,,,,,
18874092,NO,1,,,,,,,
19805525,NO,1,,,,,,,
20450659,YES,,,1,,1,,,
20457439,NO,1,,,,,,,
21153439,NO,,1,,,,,,
21277462,NO,1,,,,,,,
21647801,NO,1,,,,,,1,
22428178,YES,,1,,,,,,
22550302,YES,1,,,,,,,
24374850,YES,,,,1,,,,
25247136,YES,,,,,,1,,
26923276,NO,,1,,,,,,
27356620,YES,,,,,,,,1
27544393,YES,1,,,,,,,
30717583,NO,1,,,,,,,
33470260,NO,,1,,,,,1,
33600301,NO,1,,,,,,,
35715580,YES,1,,,,,,,
35883423,YES,,,,,,1,,
35978549,YES,,,1,,,,,
36613166,NO,1,,,,,,,
37201500,NO,,1,,,,,,
38287904,NO,,,,,,,,1
38809622,NO,1,,,,,,,
39606225,NO,1,,,,,,,
39938862,NO,,1,,,,,,
40117639,NO,1,,,,,,,
40292055,NO,,,,,,,1,
42097701,YES,,1,,,,,,
42167759,NO,,,,,,,,1
43176942,NO,,,,,,,,1
43714730,NO,1,,,,,,,
44368695,YES,,,,,,1,,
45614627,NO,1,,,,,,,
46060290,NO,,,,,,,1,
46945724,NO,1,,,,,,,
47612878,YES,,1,,,,,,
48203834,NO,,1,,,,,,
48367845,NO,,,,,,1,,
48809610,NO,,1,,,,,,
49850186,NO,,,1,,,,,
50062899,NO,1,,,,,,,
50547036,NO,,1,,,,,1,
50701591,NO,1,,,,,,,
50791158,NO,,,,,,,1,
51796899,NO,1,,,,,,,
52058027,NO,1,1,,,,,,
52217289,NO,1,,,,,,,
53298661,NO,1,,,,,,,
53316909,YES,1,,,,,,,
53762500,NO,1,,,,,,,
53869026,NO,,,,1,,,,
54261690,NO,1,,,,,,,
54810516,NO,1,,,,,,,
55847871,YES,1,1,,,,,,
55988049,NO,,,,,,,,1
56695714,NO,1,,,,,,,
56877258,NO,1,,,1,,,,
57075536,NO,1,,,,,,,
58178562,NO,,,,,,1,,
58603143,NO,1,,,,,,,
58776867,NO,1,,,1,,,,
58864353,NO,1,,,,,,,
58883037,NO,1,,,,,,,
58986604,NO,,1,,,,,,
59340189,NO,1,,,,,,,
